iata_code,icao_code,name,country,state,city,elevation,lat,lon,timezone
BTX,YBEO,Betoota Airport,Queensland,AU,"",91,140.78,-25.64,Australia/Brisbane
BQW,YBGO,Balgo Hill Airport,Western-Australia,AU,"",439,127.97,-20.15,Australia/Perth
BHQ,YBHI,Broken Hill Airport,New-South-Wales,AU,Broken Hill,958,141.47,-32.00,Australia/Adelaide
HTI,YBHM,Hamilton Island Airport,Queensland,AU,Hamilton Island,15,148.95,-20.36,Australia/Lindeman
BEU,YBIE,Bedourie Airport,Queensland,AU,"",300,139.46,-24.35,Australia/Brisbane
BIW,YBIL,Billiluna Airport,Western-Australia,AU,"",1000,127.67,-19.57,Australia/Perth
BZP,YBIZ,Bizant Airport,Queensland,AU,Lakefield National Park,65,144.12,-14.74,Australia/Brisbane
BRK,YBKE,Bourke Airport,New-South-Wales,AU,"",352,145.95,-30.04,Australia/Sydney
BUC,YBKT,Burketown Airport,Queensland,AU,"",21,139.53,-17.75,Australia/Brisbane
BLN,YBLA,Benalla Airport,Victoria,AU,"",569,146.01,-36.55,Australia/Melbourne
LCN,YBLC,Balcanoona Airport,South-Australia,AU,"",144,139.34,-30.54,Australia/Adelaide
BLS,YBLL,Bollon Airport,Queensland,AU,"",182,147.48,-28.06,Australia/Brisbane
BQB,YBLN,Busselton Regional Airport,Western-Australia,AU,"",55,115.40,-33.69,Australia/Perth
ISA,YBMA,Mount Isa Airport,Queensland,AU,Mount Isa,1121,139.49,-20.66,Australia/Brisbane
MCY,YBMC,Sunshine Coast Airport,Queensland,AU,Maroochydore,15,153.09,-26.60,Australia/Brisbane
MKY,YBMK,Mackay Airport,Queensland,AU,Mackay,19,149.18,-21.17,Australia/Brisbane
BNK,YBNA,Ballina Byron Gateway Airport,New-South-Wales,AU,Ballina,7,153.56,-28.83,Australia/Sydney
BSJ,YBNS,Bairnsdale Airport,Victoria,AU,"",165,147.57,-37.89,Australia/Hobart
GIC,YBOI,Boigu Airport,Queensland,AU,"",23,142.22,-9.23,Australia/Brisbane
OKY,YBOK,Oakey Airport,Queensland,AU,"",1335,151.74,-27.41,Australia/Brisbane
BQL,YBOU,Boulia Airport,Queensland,AU,"",542,139.90,-22.91,Australia/Brisbane
BMP,YBPI,Brampton Island Airport,Queensland,AU,"",11,149.27,-20.80,Australia/Brisbane
PPP,YBPN,Proserpine Whitsunday Coast Airport,Queensland,AU,Proserpine,82,148.55,-20.50,Australia/Brisbane
ROK,YBRK,Rockhampton Airport,Queensland,AU,Rockhampton,34,150.48,-23.38,Australia/Brisbane
BOX,YBRL,Borroloola Airport,Northern-Territory,AU,"",55,136.30,-16.08,Australia/Darwin
BME,YBRM,Broome International Airport,Western-Australia,AU,Broome,56,122.23,-17.94,Australia/Perth
BZD,YBRN,Balranald Airport,New-South-Wales,AU,"",210,143.58,-34.62,Australia/Sydney
BTD,YBRU,Brunette Downs Airport,Northern-Territory,AU,"",700,135.94,-18.64,Australia/Darwin
BWQ,YBRW,Brewarrina Airport,New-South-Wales,AU,"",414,146.82,-29.97,Australia/Sydney
BHS,YBTH,Bathurst Airport,New-South-Wales,AU,Bathurst,2435,149.65,-33.41,Australia/Sydney
BRT,YBTI,Bathurst Island Airport,Northern-Territory,AU,"",67,130.62,-11.77,Australia/Darwin
TSV,YBTL,Townsville Airport,Queensland,AU,Townsville,18,146.76,-19.25,Australia/Brisbane
BLT,YBTR,Blackwater Airport,Queensland,AU,"",657,148.81,-23.60,Australia/Brisbane
BDB,YBUD,Bundaberg Airport,Queensland,AU,Bundaberg,107,152.32,-24.90,Australia/Brisbane
BUY,YBUN,Bunbury Airport,Western-Australia,AU,"",53,115.68,-33.38,Australia/Perth
BIP,YBWM,Bulimba Airport,Queensland,AU,"",470,143.48,-16.88,Australia/Brisbane
ZBO,YBWN,Bowen Airport,Queensland,AU,"",8,148.21,-20.02,Australia/Brisbane
WEI,YBWP,Weipa Airport,Queensland,AU,Weipa,63,141.93,-12.68,Australia/Brisbane
WTB,YBWW,Toowoomba Wellcamp Airport,Queensland,AU,Wellcamp,1509,151.79,-27.56,Australia/Brisbane
BWB,YBWX,Barrow Island Airport,Western-Australia,AU,"",26,115.41,-20.86,Australia/Perth
BVZ,YBYS,Beverley Springs Airport,Western-Australia,AU,"",385,125.43,-16.73,Australia/Perth
CGV,YCAG,Caiguna Airport,Western-Australia,AU,"",87,125.49,-32.26,Australia/Perth
CLH,YCAH,Coolah Airport,New-South-Wales,AU,"",504,149.61,-31.77,Australia/Sydney
CVQ,YCAR,Carnarvon Airport,Western-Australia,AU,"",13,113.67,-24.88,Australia/Perth
CSI,YCAS,Casino Airport,New-South-Wales,AU,"",86,153.07,-28.88,Australia/Sydney
CAZ,YCBA,Cobar Airport,New-South-Wales,AU,"",724,145.79,-31.54,Australia/Sydney
COJ,YCBB,Coonabarabran Airport,New-South-Wales,AU,"",2117,149.27,-31.33,Australia/Sydney
CBY,YCBE,Canobie Airport,Queensland,AU,Canobie,0,140.93,-19.48,Australia/Brisbane
CBI,YCBN,Cape Barren Island Airport,Tasmania,AU,"",0,148.02,-40.39,Australia/Hobart
CPD,YCBP,Coober Pedy Airport,South-Australia,AU,"",740,134.72,-29.04,Australia/Adelaide
CRB,YCBR,Collarenebri Airport,New-South-Wales,AU,"",152,148.58,-29.52,Australia/Sydney
CCL,YCCA,Chinchilla Airport,Queensland,AU,"",1028,150.62,-26.78,Australia/Brisbane
CNC,YCCT,Coconut Island Airport,Queensland,AU,"",3,143.07,-10.05,Australia/Brisbane
CNJ,YCCY,Cloncurry Airport,Queensland,AU,Cloncurry,616,140.50,-20.67,Australia/Brisbane
CBX,YCDO,Condobolin Airport,New-South-Wales,AU,"",650,147.21,-33.06,Australia/Sydney
CUD,YCDR,Caloundra Airport,Queensland,AU,"",12,153.10,-26.80,Australia/Brisbane
CED,YCDU,Ceduna Airport,South-Australia,AU,"",77,133.71,-32.13,Australia/Adelaide
CVC,YCEE,Cleve Airport,South-Australia,AU,"",589,136.51,-33.71,Australia/Adelaide
CFI,YCFD,Camfield Airport,Northern-Territory,AU,"",0,131.33,-17.02,Australia/Darwin
LLG,YCGO,Chillagoe Airport,Queensland,AU,"",1110,144.53,-17.14,Australia/Brisbane
CKW,YCHK,Graeme Rowley Aerodrome,Western Australia,AU,Christmas Creek mine,0,119.65,-22.36,Australia/Perth
CXT,YCHT,Charters Towers Airport,Queensland,AU,"",955,146.27,-20.04,Australia/Brisbane
DCN,YCIN,RAAF Base Curtin,Western-Australia,AU,"",300,123.83,-17.58,Australia/Perth
CKI,YCKI,Croker Island Airport,Northern-Territory,AU,"",16,132.48,-11.17,Australia/Darwin
CTN,YCKN,Cooktown Airport,Queensland,AU,"",26,145.18,-15.44,Australia/Brisbane
CMQ,YCMT,Clermont Airport,Queensland,AU,"",908,147.62,-22.77,Australia/Brisbane
CMA,YCMU,Cunnamulla Airport,Queensland,AU,"",630,145.62,-28.03,Australia/Brisbane
CML,YCMW,Camooweal Airport,Queensland,AU,"",241,138.13,-19.91,Australia/Brisbane
NIF,YCNF,Camp Nifty Airport,Western-Australia,AU,"",295,121.59,-21.67,Australia/Perth
CES,YCNK,Cessnock Airport,New-South-Wales,AU,"",211,151.34,-32.79,Australia/Sydney
CNB,YCNM,Coonamble Airport,New-South-Wales,AU,"",604,148.38,-30.98,Australia/Sydney
ODL,YCOD,Cordillo Downs Airport,South-Australia,AU,Cordillo Downs,125,140.64,-26.75,Australia/Adelaide
CUQ,YCOE,Coen Airport,Queensland,AU,"",532,143.11,-13.76,Australia/Brisbane
OOM,YCOM,Cooma Snowy Mountains Airport,New-South-Wales,AU,Cooma,3088,148.97,-36.30,Australia/Sydney
CDA,YCOO,Cooinda Airport,Northern-Territory,AU,"",13,132.53,-12.90,Australia/Darwin
CWW,YCOR,Corowa Airport,New-South-Wales,AU,"",469,146.36,-35.99,Australia/Sydney
CYG,YCRG,Corryong Airport,Victoria,AU,"",963,147.89,-36.18,Australia/Melbourne
CDQ,YCRY,Croydon Airport,Queensland,AU,"",107,142.26,-18.23,Australia/Brisbane
KCE,YCSV,Collinsville Airport,Queensland,AU,"",180,147.86,-20.60,Australia/Brisbane
CMD,YCTM,Cootamundra Airport,New-South-Wales,AU,"",1110,148.03,-34.62,Australia/Sydney
CUG,YCUA,Cudal Airport,New-South-Wales,AU,"",491,148.76,-33.28,Australia/Sydney
CUY,YCUE,Cue Airport,Western-Australia,AU,"",442,117.92,-27.45,Australia/Perth
CWR,YCWI,Cowarie Airport,South-Australia,AU,"",52,138.33,-27.71,Australia/Adelaide
CCW,YCWL,Cowell Airport,South-Australia,AU,"",39,136.89,-33.67,Australia/Adelaide
CWT,YCWR,Cowra Airport,New-South-Wales,AU,"",966,148.65,-33.84,Australia/Sydney
DJR,YDAJ,Dajarra Airport,Queensland,AU,"",335,139.53,-21.71,Australia/Brisbane
DBY,YDAY,Dalby Airport,Queensland,AU,"",1137,151.27,-27.16,Australia/Brisbane
DRN,YDBI,Dirranbandi Airport,Queensland,AU,"",567,148.22,-28.59,Australia/Brisbane
DNB,YDBR,Dunbar Airport,Queensland,AU,"",15,142.40,-16.05,Australia/Brisbane
DRB,YDBY,Derby Airport,Western-Australia,AU,"",24,123.66,-17.37,Australia/Perth
DFP,YDDF,Drumduff Airport,Queensland,AU,Drumduff,0,143.01,-16.05,Australia/Brisbane
DGD,YDGA,Dalgaranga Gold Mine Airport,Western-Australia,AU,"",1459,117.32,-27.83,Australia/Perth
DXD,YDIX,Dixie Airport,Queensland,AU,New Dixie,580,143.32,-15.12,Australia/Brisbane
DLK,YDLK,Dulkaninna Airport,South-Australia,AU,Dulkaninna,0,138.48,-29.01,Australia/Adelaide
DDN,YDLT,Delta Downs Airport,Queensland,AU,"",15,141.32,-16.99,Australia/Brisbane
DLV,YDLV,Delissaville Airport,Northern-Territory,AU,"",34,130.68,-12.55,Australia/Darwin
DYW,YDLW,Daly Waters Airport,Northern-Territory,AU,Daly Waters,700,133.38,-16.26,Australia/Darwin
DMD,YDMG,Doomadgee Airport,Queensland,AU,"",153,138.82,-17.94,Australia/Brisbane
DVR,YDMN,Daly River Airport,Northern-Territory,AU,"",0,130.69,-13.75,Australia/Darwin
NLF,YDNI,Darnley Island Airport,Queensland,AU,Darnley Island,0,143.77,-9.58,Australia/Brisbane
DRD,YDOR,Dorunda Airport,Queensland,AU,"",27,141.81,-16.56,Australia/Brisbane
DVP,YDPD,Davenport Downs Airport,Queensland,AU,"",95,141.11,-24.15,Australia/Brisbane
DPO,YDPO,Devonport Airport,Tasmania,AU,Devonport,33,146.43,-41.17,Australia/Melbourne
DOX,YDRA,Dongara Airport,Western-Australia,AU,"",0,114.93,-29.30,Australia/Perth
DRY,YDRD,Drysdale River Airport,Western-Australia,AU,"",360,126.38,-15.71,Australia/Perth
DHD,YDRH,Durham Downs Airport,Queensland,AU,"",116,141.90,-27.08,Australia/Brisbane
DRR,YDRI,Durrie Airport,Queensland,AU,"",58,140.23,-25.68,Australia/Brisbane
DKV,YDVR,Docker River Airport,Northern-Territory,AU,"",589,129.07,-24.86,Australia/Darwin
